"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1585921,"December 31, 2019",Illinois,Normal,"1700 block of Putnam Ave",1,0,N/A
1587331,"December 31, 2019",Louisiana,"Pleasant Hill",N/A,1,0,N/A
1586117,"December 31, 2019",Minnesota,Minneapolis,"1300 block of Russell Ave N",1,1,N/A
1586378,"December 31, 2019",Oregon,Gresham,"NE 188th Ave and NE Irving Ct",1,1,N/A
1584351,"December 31, 2019",Florida,"Fort Lauderdale","NW First Ave",1,0,N/A
1586211,"December 31, 2019",Texas,Abilene,"2500 block of Rountree Dr",1,0,N/A
1584487,"December 31, 2019",Georgia,Atlanta,"Buford Hwy and Lenox Rd",2,0,N/A
1585548,"December 31, 2019",Georgia,Savannah,"Wilder Dr and Avery St",1,0,N/A
1585188,"December 31, 2019",Massachusetts,Lawrence,"7B Summer St",1,0,N/A
1585088,"December 31, 2019",Pennsylvania,Philadelphia,"5600 block of Frontenac St",2,0,N/A
1584621,"December 31, 2019",Washington,"Federal Way","30800 block of 14th Ave S",1,2,N/A
1585528,"December 31, 2019",Georgia,Ludowici,"1500 Block of Tommy Hines Rd NE",2,0,N/A
1584961,"December 31, 2019",Alaska,Wasilla,"Bogard Rd and Dellwood St",1,0,N/A
1585607,"December 31, 2019","New Mexico",Roswell,"300 block of E 6th St",1,0,N/A
1589640,"December 31, 2019",Florida,Melbourne,"2000 block of Leewood Blvd",1,0,N/A
1584856,"December 31, 2019","West Virginia",Caldwell,"Monroe Draft",1,0,N/A
1585678,"December 31, 2019",Tennessee,Nashville,"I-65 and Rosa L Parks Blvd",1,0,N/A
1585635,"December 31, 2019",California,"Huntington Park","3000 block of Hill St",1,0,N/A
1584795,"December 31, 2019",Tennessee,Chattanooga,"490 Greenway View Dr",1,1,N/A
1585520,"December 31, 2019","West Virginia","Charleston (Cross Lanes)","Dawn St",1,0,N/A
1585539,"December 31, 2019",Georgia,Augusta,"210 Boy Scout Rd",1,0,N/A
1585003,"December 31, 2019",Missouri,Chesterfield,"17057 N Outer 40 Rd",1,0,N/A
1584730,"December 31, 2019",Michigan,Detroit,"131 Regent St",1,0,N/A
1584642,"December 31, 2019",Pennsylvania,Philadelphia,"3500 block of Germantown Ave",1,0,N/A
1584637,"December 31, 2019",Pennsylvania,Philadelphia,"4000 block of N 7th St",1,0,N/A
1584727,"December 31, 2019",Arkansas,Marion,"I-40 and Mound City Rd",1,0,N/A
1585524,"December 31, 2019",Georgia,Adel,"N Adams St",2,0,N/A
1585010,"December 31, 2019",Indiana,Indianapolis,"N Belmont Ave and W St. Clair St",1,2,N/A
1586980,"December 31, 2019",Arizona,Globe,"S Broad St",1,0,N/A
