"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1290435,"December 31, 2018",Nebraska,Omaha,"2500 block of Emmet St",0,0,N/A
1289500,"December 31, 2018",Texas,"Houston (Cloverleaf)","14200 block of Duncannon Dr",1,2,N/A
1291253,"December 31, 2018","West Virginia",Worthington,"Michael Hill Rd",0,0,N/A
1289865,"December 31, 2018",Tennessee,"Memphis (Bartlett)","3359 Summerhill Dr",1,1,N/A
1295009,"December 31, 2018",Missouri,"Saint Louis (Overland)",N/A,0,0,N/A
1289787,"December 31, 2018",Illinois,Chicago,"6200 block of S Eberhart Ave",0,0,N/A
1291926,"December 31, 2018","North Carolina",Durham,"Hill St",0,1,N/A
1290378,"December 31, 2018",Massachusetts,Worcester,"Dorchester St and Cutler St",0,0,N/A
1290364,"December 31, 2018",Massachusetts,Boston,"Harrison Ave and Oxford Pl",0,0,N/A
1289364,"December 31, 2018",Indiana,Evansville,"West Columbia St",0,0,N/A
1289362,"December 31, 2018","New York","New York (Manhattan)","110 Bedford St",1,0,N/A
1292848,"December 31, 2018",Kansas,Olathe,"12051 Bass Pro Dr",0,0,N/A
1289653,"December 31, 2018",Illinois,"Elk Grove Village","Smethwick Ln and Brantwood Ave",0,1,N/A
1291834,"December 31, 2018",Florida,"Fort Pierce","2400 block of N 42nd St",0,0,N/A
1290146,"December 31, 2018",Texas,"Fort Worth","5430 Miller Ave",0,0,N/A
1290313,"December 31, 2018",Kansas,Goessel,"301 E Commercial St",0,0,N/A
1288927,"December 31, 2018",Colorado,Longmont,"2211 Pratt St",1,0,N/A
1289279,"December 31, 2018",Alabama,Birmingham,"3205 Birmingport Rd",1,1,N/A
1291156,"December 31, 2018",Texas,Mexia,"500 block of W Commerce St",0,0,N/A
1290298,"December 31, 2018",Ohio,Dayton,"2500 block of Home Ave",0,1,N/A
1289071,"December 31, 2018",California,"Los Angeles","13600 block of Vanowen St",1,0,N/A
1289318,"December 31, 2018",Massachusetts,Methuen,"Lowell St and N Lowell St",0,0,N/A
1288781,"December 31, 2018",Florida,Miami,"374 NW 27th Ave",1,0,N/A
1290261,"December 31, 2018",Kentucky,Owensboro,"700 block of Elm St",0,0,N/A
1290274,"December 31, 2018",Kansas,Topeka,"SW 17th St and SW Westport Dr",0,0,N/A
1290266,"December 31, 2018",Louisiana,"Baton Rouge","6300 block of Airline Hwy",0,0,N/A
1288883,"December 31, 2018",Pennsylvania,Waterville,"Church St",1,0,N/A
1289893,"December 31, 2018","South Carolina",Columbia,"300 block of S Highland Forest Dr",1,0,N/A
1290194,"December 31, 2018",Missouri,"Saint Louis","Davis St and Virginia Ave",1,0,N/A
1290256,"December 31, 2018",Texas,"Fort Worth","2900 Renaissance Dr",0,1,N/A
1289282,"December 31, 2018",Missouri,Springfield,"500 block of S New Ave",0,0,N/A
1292746,"December 31, 2018",Ohio,Cleveland,"W St Clair Ave and W 9th St",0,1,N/A
